DATE,LA,SEA,DEN,AUS,DC,DET,PHX,MIN,BOS,MIA,NY,CHI,ATL,LV
4/1/1994,77.08542367,77.86191748,64.5488288,67.41857715,89.48114613,86.95035484,80.47715481,76.73256376,68.02622308,85.07472853,77.59430173,80.20488904,89.1667639,84.4004878
5/1/1994,76.66513195,78.77987884,65.04630366,67.53725164,89.78923765,87.58516344,80.76591521,76.91392797,67.93091046,85.06085353,77.96721675,80.56874539,89.7478808,85.44074657
6/1/1994,76.43503397,79.65272632,65.60516508,67.61272761,90.09104674,88.05693388,81.01945807,77.34428993,68.12717498,85.28866832,78.05827528,80.6155097,90.16364849,85.9274888
7/1/1994,76.40982861,80.66718226,65.9623194,67.64045048,90.18055149,88.47373027,81.33814119,77.88727693,68.16303369,85.64654547,78.24129255,80.65972953,90.44584037,86.29418121
8/1/1994,76.40972254,81.10805059,66.2982269,67.68213571,90.07934677,89.01199282,81.60692435,78.15330766,68.28706101,85.99804996,78.34212843,80.91009588,90.76442796,86.06953098
9/1/1994,76.43433569,81.69227554,66.51538998,67.54309043,90.05467581,89.44571738,81.85514598,78.47260411,68.44192535,86.16427127,78.41461088,81.17584662,91.08941422,86.17494037
10/1/1994,76.54724475,82.05515083,66.85554047,67.7934254,90.03542298,89.97719426,82.06723317,78.84691986,68.6559182,86.25739619,78.44565186,81.61725909,91.86431012,86.27889209
11/1/1994,76.46888715,82.7686627,67.18366378,68.05065824,90.13594982,90.62873557,82.29940594,79.30457811,68.79113636,86.51680083,78.38035214,81.71564814,92.50395193,86.54256586
12/1/1994,76.39423565,83.67007711,67.57483107,68.31163645,89.94778317,91.50457591,82.47599777,79.5853951,68.78034961,86.83560105,78.49056028,81.86094583,93.07948766,87.22370561
1/1/1995,76.37638923,84.48245727,67.95491088,68.41540707,89.67030283,92.43356686,82.80312715,79.97596242,68.79354969,86.9199855,78.56928702,81.88323369,93.59057086,87.31728176
2/1/1995,76.02272701,85.65272325,68.31042058,68.32134224,89.60413981,93.05841653,83.17962968,79.97131872,69.01233943,86.7122945,78.7831455,82.15419248,94.07408988,87.5920859
3/1/1995,75.77565159,86.30299326,68.60078888,67.72523946,89.39826533,93.48466999,83.54929649,79.89467808,69.12558135,86.75390813,78.56712579,82.28154816,94.76826524,87.74011591
4/1/1995,75.35666549,87.00228802,68.73458186,67.40639172,89.12787655,93.62853867,83.95100061,79.67326653,68.98109005,86.70807024,78.44575211,82.34676126,95.13628061,88.26537889
5/1/1995,75.11777659,87.57665402,69.1555659,67.10597991,88.9342637,94.21584825,84.26668879,80.38554025,69.09352015,86.81621635,78.43491224,82.31616388,95.7882418,88.14618117
6/1/1995,74.55546599,88.38395111,69.37444036,66.92125416,88.66953882,94.88717411,84.39287552,80.72591892,69.38910477,86.96212106,78.43181628,82.51724797,96.26307106,88.02933659
7/1/1995,74.50003718,89.15770286,69.81829866,66.96452096,88.56682053,95.86136925,84.43674251,82.06489882,69.69654682,86.95428484,78.4531823,82.84651638,96.91423636,87.91708662
8/1/1995,74.2803678,89.76750293,70.16310581,67.01859363,88.64910242,96.58897306,84.55552776,82.25639509,70.02586284,87.26441247,78.43677695,83.10924362,97.32680751,88.32962852
9/1/1995,74.19116631,90.47940523,70.69994118,67.10789585,88.79648249,97.41024405,85.02708209,81.76439525,70.12427896,87.23714047,78.50593285,83.42862991,97.78782321,88.64819122
10/1/1995,74.08742553,91.13819799,71.05929704,66.97134682,88.75763847,98.00508917,85.64220265,82.0984388,70.1424518,87.44639625,78.67124521,83.51243789,98.49603681,88.91760176
11/1/1995,74.02906751,91.82069958,71.35671213,66.90643759,88.64881131,98.66793812,86.15888637,82.18399932,70.11222412,87.39193944,78.74480863,83.87563909,99.0851286,89.00810031
12/1/1995,73.93694589,92.13411422,71.63557747,66.84972074,88.63947038,99.47795718,86.55868266,82.58676544,70.26605753,87.51504496,78.85489948,83.95950958,99.92624996,89.12769002
1/1/1996,73.91998918,92.71343557,71.73647718,66.87771628,88.65536856,100.1456249,86.91754533,82.87110695,70.68080928,87.43319378,78.95019497,84.25877402,100.3782066,89.18629334
2/1/1996,73.84378117,93.0967473,71.96380722,66.90402812,88.53677039,100.8760637,87.43476586,83.51441174,70.95717037,87.51813098,79.2184123,83.91742409,101.2897221,89.49679015
3/1/1996,73.85540325,93.88357438,72.33621947,66.80768708,88.60999896,101.3743405,87.69138828,83.70152689,71.39313961,87.16270056,79.50162261,84.01746122,101.6755418,89.44004219
4/1/1996,73.85737182,94.69510983,72.89679212,66.69168718,88.87265128,101.7643034,88.13393024,84.29870922,71.65658078,87.34445875,79.60855292,84.82817789,102.7031452,89.7730632
5/1/1996,73.99548239,95.43402423,73.32959776,66.78422557,88.87464349,102.5783676,88.58733153,84.8288364,71.81921793,87.46733396,79.77581825,85.0566598,103.2673024,89.82053399
6/1/1996,74.15439578,96.33369143,73.33505726,67.01561405,88.78384803,103.2753477,89.25213735,85.34789402,72.08398908,87.57438438,79.36633005,85.21057603,104.1368855,90.21653008
7/1/1996,74.11319864,96.75566019,73.52729217,67.21614033,88.70674846,103.9918802,89.89581528,85.85760318,72.43676852,87.82550442,79.43090509,85.17526031,104.316815,90.21814691
8/1/1996,74.04838734,97.46108548,73.54370724,67.5447017,88.64388975,104.226073,90.22935186,86.36868115,72.93205663,87.84267653,79.56291371,85.30970788,104.700671,90.10665314
9/1/1996,73.99947215,98.19860703,73.89553923,67.79587905,88.67857646,104.6521814,90.61764983,86.77037211,73.01787345,87.98318559,79.75952984,85.53853467,104.7786927,89.81414896
10/1/1996,74.18013077,99.21320358,74.25580031,68.26022798,88.81802296,105.061571,90.94371143,87.41279483,73.32434794,87.94339395,79.8912833,85.81222567,105.4223614,89.66398018
11/1/1996,74.41817272,100.0452493,74.74007964,68.93506295,88.92154548,106.0946494,91.55348563,88.29370791,73.4757985,88.11118231,79.91657939,86.11984628,106.0378775,89.48024638
12/1/1996,74.51555366,100.5282867,75.18737852,69.20716989,88.67360543,106.6794302,92.2013613,89.04411566,74.19628005,87.99853058,80.19763509,86.45211962,106.5756192,90.142155
1/1/1997,74.53688361,101.0772683,75.38977373,69.63862428,88.77522391,107.3272077,92.74675925,89.90608218,74.60848785,88.05623137,80.43598877,86.51956493,107.072559,90.78171937
2/1/1997,74.40240725,101.6579955,75.75876646,69.83533753,88.97133459,107.5049229,93.33207571,90.57173806,74.90566824,88.06721248,80.59488055,86.52969407,107.4311992,91.63062792
3/1/1997,74.79060446,102.9441448,76.17491439,70.63641283,89.33657982,108.0410813,94.02493323,91.27594474,75.35396853,88.3407098,80.58976499,86.82976848,107.8180684,91.91016623
4/1/1997,75.2726918,103.4823663,76.58522738,71.26260376,88.92303993,108.39037,94.72991863,92.29220694,75.72551304,88.55171307,80.67444212,86.92497532,108.3548855,91.62651332
5/1/1997,75.76476194,104.2171881,76.94419148,71.7915372,88.93232402,108.849527,95.12279373,92.9338013,76.13255766,88.66629478,80.95413632,86.88887255,108.6478834,91.50306568
6/1/1997,76.19281468,104.4325624,77.34586558,72.31046201,88.97203238,109.142067,95.59062736,93.72011409,76.49466283,88.75044231,81.39361165,86.889531,109.3060094,91.72252405
7/1/1997,76.54269976,104.9357642,77.8035258,72.80428269,89.00796713,109.6610379,96.13186177,94.47346842,76.75320938,88.80638717,81.77725349,87.22231932,109.6704542,92.07663923
8/1/1997,77.16443952,105.2198095,78.30869334,73.57360831,89.11717571,110.4128119,96.87524986,95.64453002,77.07422986,88.88784076,81.94290517,87.56379074,110.1915026,92.48585535
9/1/1997,77.55531435,105.6243829,78.44266964,74.11510266,89.22958829,110.852826,97.61565042,96.98842655,77.44238503,89.17145214,82.06119083,87.96700228,110.669104,92.58626548
10/1/1997,78.23305835,105.8171483,78.82110657,75.037768,89.54497116,111.1029633,98.29213049,98.05646258,78.00217566,89.59253672,82.3419138,88.32528459,111.0543764,92.88707237
11/1/1997,78.89130985,106.4012282,79.3330854,75.67543001,89.75168498,110.9314912,98.95753603,98.86402357,78.61892057,89.90823021,82.82154793,88.92104238,111.1762233,92.89832669
12/1/1997,79.90761184,107.2888579,80.04482294,76.4997029,89.97205784,111.2509458,99.6444483,99.62593078,79.28475524,90.32575944,83.27303308,89.37863657,111.2975832,93.20487637
1/1/1998,81.03503708,107.7686851,80.6537814,77.20217696,90.10814916,111.4685497,100.4128545,100.1886986,79.89948046,90.72545794,83.73016695,90.18741067,111.6694651,93.24194322
2/1/1998,82.19181168,107.9102412,81.00893166,77.67771792,90.22018711,112.1528377,100.9384966,100.9717054,80.57402474,91.05560916,84.41217719,90.54343112,112.2786225,93.58978181
3/1/1998,83.65321759,108.1454941,81.23524243,78.30659237,90.34590232,112.3353385,101.7151348,101.6311664,81.17811379,91.13743993,84.94315257,90.69963821,112.696574,94.78434119
4/1/1998,84.39878813,109.033793,81.76309515,79.12785872,90.55001445,112.3204356,102.2720775,102.974796,81.94568722,91.22682734,85.41657174,90.66910343,112.7755689,94.77234413
5/1/1998,85.39577778,109.2368876,82.41652794,80.2151006,90.84264544,112.8180053,102.9890357,104.4066829,82.79338062,91.44620754,85.98712485,90.992326,112.9404493,94.54267656
6/1/1998,86.44541836,109.7398447,83.07923734,81.39190998,91.29731701,113.3768923,103.7034544,105.6098484,83.68358849,92.03294107,86.4824261,91.56294213,113.2531555,94.22762255
7/1/1998,87.85152232,109.9912588,83.74102077,82.38230052,91.54794727,114.0326526,104.0826017,106.387834,84.4904381,92.65780018,87.1611833,91.8074783,113.6674999,94.29861832
8/1/1998,88.93477937,110.554289,84.54921028,83.51693686,91.78473421,114.5454592,104.4966365,107.3556195,85.27779743,92.9075924,87.66588549,92.15267473,114.0228451,94.41098322
9/1/1998,90.08424997,111.2109412,85.25428729,84.43969142,91.96941183,114.7971172,104.9660752,108.4654876,86.20229307,93.06796828,88.22858049,92.27439855,114.169981,94.78792633
10/1/1998,90.77409985,111.595495,86.05164392,84.96501086,92.40260791,114.8778897,105.3255618,109.6255688,86.57525039,93.14075547,88.73920323,92.51627843,114.6000581,94.88091169
11/1/1998,91.29391235,112.0359651,86.80162259,85.1642103,93.01248275,115.5270962,105.7987219,111.1564556,86.88352175,93.37179655,89.25959811,92.10874386,114.9270406,95.29215676
12/1/1998,91.78123481,112.0679733,87.42965623,85.39775518,93.51338267,115.6068355,106.0128828,111.7315199,87.78784478,93.56889319,89.5583978,92.65798424,115.2594165,95.6343754
1/1/1999,92.14008625,112.8363104,88.49262928,86.22789355,94.18805418,115.7041989,106.403678,113.3549119,89.24213959,93.94536505,89.85618597,92.94203664,115.6546624,96.2499272
2/1/1999,92.71811851,113.2639602,89.45874099,87.21906555,94.42715074,115.3437517,106.881886,114.5013144,90.56060728,94.42897756,90.51220494,93.52196662,115.9571903,96.78813624
3/1/1999,93.38405497,113.5728404,90.85743266,88.29171244,94.92750353,116.1707039,107.4563695,116.3910356,91.28855851,95.11681805,91.28555798,93.62458144,116.6831166,96.69665692
4/1/1999,94.38407186,113.5253187,91.68818518,89.08616971,95.52102878,117.1193798,108.081505,117.2732108,92.1533825,95.85168247,92.27485357,94.65439648,116.6014652,96.86034218
5/1/1999,95.23315472,113.7289094,92.54857787,89.97017117,95.85611276,118.1077197,108.7053592,118.2843081,92.99917488,96.17969319,93.00047385,95.43281958,116.8555975,97.33750342
6/1/1999,96.02552776,114.0536344,93.39492011,91.27607868,96.5919367,117.8390756,109.0207496,119.6755968,93.80059066,96.08017005,94.03505251,96.31771925,116.8215617,97.95334283
