DATE,LA_Any,LA_Single,STL_Any,STL_Single,SEA_Any,SEA_Single,DEN_Any,DEN_Single,AUS_Any,AUS_Single,SLC_Any,SLC_Single,DC_Any,DC_Single,MEM_Any,MEM_Single,PHX_Any,PHX_Single,CHA_Any,CHA_Single,DET_Any,DET_Single,MIN_Any,MIN_Single,IND_Any,IND_Single,BOS_Any,BOS_Single,MIA_Any,MIA_Single,PHI_Any,PHI_Single,SF_Any,SF_Single,NY_Any,NY_Single,CHI_Any,CHI_Single,HOU_Any,HOU_Single,ATL_Any,ATL_Single,JAC_Any,JAC_Single,KC_Any,KC_Single,LV_Any,LV_Single
9/1/2016,2483.734033,722.7390323,756.4168788,494.1062864,2618.30272,728.3453353,1927.486588,909.5574809,2778.267581,1272.905743,656.4272005,358.6786831,2283.696152,1073.712841,289.2911196,287.9914866,3455.069232,1571.909604,1654.078381,1130.041166,688.3301104,469.1109168,1277.502518,659.6248494,753.5409772,565.4671639,1757.440982,427.4506758,1524.892599,605.9807445,1082.685012,517.8254756,1973.982977,409.5182842,4736.139318,760.9002167,1776.895012,674.7870575,4348.23112,3147.357979,2842.321873,1960.884963,1154.598236,681.2325442,830.0199271,415.8732237,1049.171941,775.1633504
10/1/2016,2785.764338,674.1798242,534.863981,409.8193867,2698.493439,603.4231635,2531.548233,941.330623,1284.751107,1157.677824,1195.254167,343.3616317,1437.718619,926.867929,407.7665039,257.1186265,1899.467922,1512.815272,1522.514406,1031.493975,510.4932384,438.6335197,1295.382983,619.121366,814.4085821,437.6348434,920.0022871,442.4867581,2123.461614,564.6466692,1147.698541,533.7254955,1179.653008,508.0996674,2715.032551,829.6910206,2738.519834,705.3676299,3707.827307,3009.691584,2764.381086,1888.43545,1269.608962,579.6582761,555.058345,460.2713081,785.8882466,709.6657319
11/1/2016,2309.568804,814.4913114,657.4128937,534.9797544,2006.910567,746.7733001,2401.655056,925.5217083,2084.852069,1128.986631,960.1930339,390.8392816,1419.299072,1119.756891,273.5381535,241.704978,3272.768092,1759.501208,1451.128344,1125.822181,636.1031229,502.2155271,1533.539376,677.2465997,572.283112,531.0618308,996.2496759,434.9558492,1875.957347,471.4301504,1030.41301,579.920965,1728.827846,451.4768558,3416.945608,871.7431688,1010.89038,647.117895,3495.953019,3217.549833,2958.68925,1964.816091,1068.222163,656.806489,1003.635329,448.7283032,696.7541968,766.1651182
12/1/2016,2747.060152,859.4854354,872.8520703,521.9588064,2356.583221,754.2903568,1359.081883,967.919041,1712.814575,1303.078475,748.080621,335.5187423,1978.466958,1304.1225,254.9306109,248.5430065,2349.99039,1597.534851,1248.733496,1149.178852,561.6435017,489.0903293,1515.356318,682.1937305,437.5839879,384.8491947,755.8145004,441.4280405,825.1251227,625.1840775,1102.179749,704.0431921,1171.726225,377.9335261,4020.709551,836.6289855,1247.356636,614.8458427,2897.349209,3134.526977,3216.696755,1863.672207,1134.542294,737.2492968,645.1004966,397.0230154,2026.07287,810.1140071
1/1/2017,1865.49564,771.8522595,681.285989,478.0342695,2188.663429,782.8072071,2115.744433,752.3078866,2076.310472,1351.659082,525.3840751,313.043915,1680.618675,1065.28334,249.8239303,240.8206318,2296.563131,1570.013143,1625.36227,1235.011623,664.0961296,540.0842246,1186.522168,654.3481325,724.6442542,470.8163054,789.7132786,487.5392581,1977.039393,571.8907945,1046.03185,584.4978936,1112.83882,251.2296073,5215.887836,944.7946393,1334.160986,736.3328453,3984.80607,3164.038769,3251.38336,1936.12161,886.8672103,626.3236046,725.1719726,572.2909765,1041.696549,772.1576994
2/1/2017,1733.253325,838.5411346,724.5997014,539.1350294,1959.969181,886.3736492,2179.961924,894.3308524,2246.81926,1216.558375,576.0654333,359.9790012,1572.860172,1242.705418,311.2386501,263.0623225,2034.654022,1598.378818,1719.965236,1066.221696,748.7159572,550.9255058,1514.235163,737.4025968,789.1284393,417.2038964,1031.202671,394.8820717,1508.653447,581.325904,1016.294827,549.1497672,1235.063824,333.8051548,3779.830122,879.1581186,1868.244078,667.6906771,3715.085001,3202.345195,2536.576772,1949.119606,1174.464772,783.8535282,1194.68394,553.2832506,692.0992604,749.0983662
3/1/2017,2895.143261,935.6550303,631.2565436,517.4825264,1882.778609,636.9203606,2062.774959,945.4763875,2191.59221,1620.087146,664.7514304,440.1208997,2020.68807,1302.586706,275.6493106,213.8133884,2682.350177,1752.378833,1815.152874,1203.55444,807.895869,701.1393807,1830.147283,794.3271449,640.2638112,519.1593627,1661.542174,446.7106968,795.9848716,483.867975,968.0334868,584.2123696,949.4017629,364.4522306,3805.35103,790.4688834,1162.810399,668.5713116,3916.132586,3404.296807,2846.749506,2040.512852,918.6085477,955.3152093,671.862552,541.2784646,916.653953,793.6614934
4/1/2017,3070.149364,918.5970601,657.3456984,447.3403252,2274.375942,776.1174315,2302.172178,791.7929103,1935.811321,1120.449838,555.8539724,328.780388,1918.709696,1095.667488,302.1985767,255.0553831,2312.480843,1608.949063,1256.559089,1071.860357,635.6860464,518.5962377,1289.612131,755.4484381,589.6818263,469.1672894,944.5481619,370.0587765,2330.95782,564.0727785,1061.926642,528.8970334,1304.160344,348.5614554,4600.917112,776.1869618,2300.443402,632.6223483,4222.8346,3161.385336,2290.601344,1852.188386,782.6986443,696.2278554,800.0687333,455.9926188,1317.624407,764.0051499
5/1/2017,2328.243548,882.0278505,469.428147,453.869723,1848.922852,918.285573,1435.55695,882.0178682,2115.300266,1162.591014,598.657994,396.2827317,2393.326985,1335.33322,453.8302408,288.2843209,2472.945764,1777.256166,1539.280408,1175.228879,944.6904183,501.5217502,1143.250451,718.1777283,666.9146418,574.439949,1408.039431,441.8690422,934.2018121,571.9984281,1571.965333,618.9222876,1517.073147,405.2189679,4141.403548,818.4417416,1089.908254,704.6272729,3868.508281,3386.920384,2506.418669,2193.389889,1258.046845,859.1523413,1460.554945,458.9352688,1092.479921,872.9573782
6/1/2017,2892.318545,839.5654852,588.2013955,458.6562969,2244.991163,848.8829572,2621.600932,971.4187141,3192.548884,1290.172408,466.4657388,432.2116726,2040.42547,1189.541397,285.7992582,246.8587704,2448.769685,1619.895428,1619.106819,1188.793072,1101.45148,558.0474872,1174.299514,734.6556256,681.8031929,571.2783734,951.7234314,411.8741944,2077.835354,614.0705498,1186.447544,655.0587107,2335.139257,528.380411,3324.715228,842.7229161,3223.018205,734.8635029,4005.938894,3586.260486,2878.28972,2184.515394,1772.131525,1038.775914,708.634188,492.7008755,1130.812789,768.5529403
7/1/2017,2182.219858,655.6650615,471.7649906,416.3994957,2154.905805,826.6174214,1838.258006,863.9532271,1487.665373,1118.128983,1127.795487,430.0840249,2275.784804,1143.177467,279.4946688,260.2659936,1672.510508,1674.073526,1928.463064,1213.536879,693.2850343,484.1809156,859.5124748,653.9552466,585.5732091,493.471577,1600.741972,423.132248,2308.419202,566.5300551,902.7325009,626.2048331,1468.29081,323.6244173,3773.785441,837.7799101,1052.005642,667.7644252,3234.645269,3295.062606,2987.110815,2048.609521,769.3112863,783.6689587,727.8440905,444.0800309,1017.551467,845.2684486
